Compound,#,Sample Text,Type,Std. Conc,RT,Area,IS Area,S/N,Response,Conc.,%Rec,Detection Flags,ExperimentDate,Analysis Date
Levofloxacin,61,Postspike_1100,Analyte,,2.87,6476.513,16661.588,445.761,0.389,0.3707,,bb,40819,41519
Levofloxacin,62,Postspike_10000,Analyte,,2.91,249388.297,14183.84,7677.561,17.583,17.2059,,bb,40819,41519
Levofloxacin,63,WaterBlank7,Blank,,2.89,344.856,5.551,12.645,62.125,66.1844,,bb,40819,41519
Levofloxacin,64,AcnBlank8,Blank,,,,12.762,,,,,,40819,41519
Levofloxacin,65,WaterBlank9,Blank,,2.91,46.463,1.143,9.168,40.65,41.4498,,bb,40819,41519
Levofloxacin,66,WaterBlank,Blank,,2.93,22.482,,21.73,,,,bb,40819,41519
Levofloxacin,67,DTTblank,Analyte,,2.89,45.813,,16.203,,,,bb,40819,41519
Levofloxacin,68,Blankspike_1100,Analyte,,2.85,21278.953,83856.125,2233.234,0.254,0.2422,,bb,40819,41519
Levofloxacin,69,Blankspike_10000,Analyte,,2.85,467616.406,51100.617,4567.102,9.151,8.8322,,bb,40819,41519
Levofloxacin,70,WaterBlank7,Blank,,2.85,243.581,63.007,6.907,3.866,3.7005,,bb,40819,41519
Levofloxacin,71,AcnBlank8,Blank,,2.93,17.592,13.246,3.231,1.328,1.2667,,bb,40819,41519
Levofloxacin,72,WaterBlank9,Blank,,,,12.145,,,,,,40819,41519
Levofloxacin,73,Phase1_12292,Analyte,,2.99,16.402,51232.355,3.068,0,0.001,,bb,40819,41519
Levofloxacin,74,Phase1_12293,Analyte,,2.81,40.503,41731.629,42.398,0.001,0.0016,,bb,40819,41519
Levofloxacin,75,Phase1_12296,Analyte,,2.99,0.355,29427.955,0.561,0,0.0007,,bb,40819,41519
Levofloxacin,76,WAterbalnk10,Blank,,2.73,2.414,118.554,2.593,0.02,0.02,,bb,40819,41519
Levofloxacin,77,AcnBlank,Blank,,2.97,4.95,23.137,5.069,0.214,0.2043,,bb,40819,41519
Levofloxacin,78,WaterBlank,Blank,,2.71,0.187,18.453,0.21,0.01,0.0103,,bb,40819,41519
Levofloxacin,79,WaterBlank,Blank,,2.87,1.341,15.031,2.427,0.089,0.0855,,bb,40819,41519
Linezolid,1,WaterBlank1,Blank,,3.48,530.259,79.692,160.93,6.654,0.9932,,bb,40819,41519
Linezolid,2,LCMSwash,Blank,,3.44,77.448,8.75,16.838,8.851,1.3213,,bb,40819,41519
Linezolid,3,WaterBlank3,Blank,,3.52,18.804,1.396,4.97,13.47,2.0109,,bb,40819,41519
Linezolid,4,MeOHWash,Blank,,3.46,45.066,1.208,10.783,37.306,5.5699,,bb,40819,41519
Linezolid,5,WaterBlank4,Blank,,,,0.77,,,,,,40819,41519
Linezolid,6,AcetonitrileAABlank,Blank,,3.48,0.374,0.118,1.11,3.169,0.4729,,bb,40819,41519
Linezolid,7,WaterBlank,Blank,,3.4,0.775,0.95,0.796,0.816,0.1215,,bb,40819,41519
Linezolid,8,Water_ABS_0,Standard,0,3.44,5.749,47758.031,3.973,0,0,,bbI,40819,41519
Linezolid,9,Water_ABS_140,Standard,0.014,3.48,4142.606,45051.648,1611.378,0.092,0.0134,95.9,bb,40819,41519
Linezolid,10,Water_ABS_410,Standard,0.041,3.48,13201.256,48474.664,2135.286,0.272,0.0404,98.4,bb,40819,41519
Linezolid,11,Water_ABS_1230,Standard,0.123,3.48,40896.84,50052.816,1321.574,0.817,0.1217,98.9,bb,40819,41519
Linezolid,12,Water_ABS_3700,Standard,0.37,3.48,106621.25,42354.387,15372.77,2.517,0.3756,101.5,bb,40819,41519
Linezolid,13,Water_ABS_1000,Standard,1.1,3.48,255232.594,32826.078,7798.763,7.775,1.1606,105.5,bb,40819,41519
Linezolid,14,Water_ABS_3000,Standard,3.3,3.48,549500,24020.414,13187.918,22.876,3.4153,103.5,bb,40819,41519
Linezolid,15,Water_ABS_10000,Standard,10,3.48,987639.75,15014.688,50108.886,65.778,9.821,98.2,bb,40819,41519
Linezolid,16,WaterBlank4,Blank,,3.46,1241.256,23.345,25.591,53.17,7.9385,,bb,40819,41519
Linezolid,17,AcnBlank5,Blank,,3.46,418.782,38.705,45.376,10.82,1.6152,,bb,40819,41519
Linezolid,18,WaterBlank6,Blank,,3.44,28.801,,5.867,,,,bb,40819,41519
Linezolid,19,WaterBlank,Blank,,3.57,74.332,4.265,14.517,17.428,2.6019,,bb,40819,41519
Linezolid,20,ASM_solventA_0,Analyte,,3.48,32.261,31936.988,3.815,0.001,0,,bbI,40819,41519
Linezolid,21,ASM_solventA_14,Analyte,,3.48,696.523,34480.844,125.335,0.02,0.0027,,bb,40819,41519
Linezolid,22,ASM_solventA_41,Analyte,,3.5,1796.107,27750.688,360.015,0.065,0.0094,,bb,40819,41519
Linezolid,23,ASM_solventA_123,Analyte,,3.52,6903.666,30926.445,592.89,0.223,0.033,,bb,40819,41519
Linezolid,24,ASM_solventA_370,Analyte,,3.52,21532.012,22955.209,1472.384,0.938,0.1398,,bb,40819,41519
Linezolid,25,ASM_solventA_1100,Analyte,,3.52,48985.453,25652.99,6647.955,1.91,0.2848,,bb,40819,41519
Linezolid,26,ASM_solventA_3300,Analyte,,3.52,126674.508,23019.129,1930.006,5.503,0.8213,,bb,40819,41519
Linezolid,27,ASM_solventA_10000,Analyte,,3.52,265884.344,18573.314,30221.538,14.315,2.1371,,bb,40819,41519
Linezolid,28,WaterBlank7,Blank,,3.5,268.719,,6.494,,,,bb,40819,41519
Linezolid,29,AcnBlank8,Blank,,3.52,180.043,7.494,16.519,24.025,3.5868,,bb,40819,41519
Linezolid,30,WaterBlank9,Blank,,,,2.263,,,,,,40819,41519
Linezolid,31,WaterBlank,Blank,,3.57,29.737,,6.272,,,,bb,40819,41519
Linezolid,32,ASM_solventB_0,Analyte,,3.59,28.579,23262.107,8.415,0.001,0,,bbI,40819,41519
Linezolid,33,ASM_solventB_14,Analyte,,3.52,706.184,22374.889,138.976,0.032,0.0044,,bb,40819,41519
Linezolid,34,ASM_solventB_41,Analyte,,3.52,2121.583,22076.105,237.36,0.096,0.014,,bb,40819,41519
Linezolid,35,ASM_solventB_123,Analyte,,3.52,5540.991,22598.193,408.84,0.245,0.0363,,bb,40819,41519
Linezolid,36,ASM_solventB_370,Analyte,,3.52,19754.191,21360.98,1293.642,0.925,0.1378,,bb,40819,41519
Linezolid,37,ASM_solventB_1100,Analyte,,3.54,45241.57,20975.205,5153.75,2.157,0.3217,,bb,40819,41519
Linezolid,38,ASM_solventB_3300,Analyte,,3.54,107857.227,17438.836,3509.009,6.185,0.9232,,bb,40819,41519
Linezolid,39,ASM_solventB_10000,Analyte,,3.54,247255.156,14620.567,7729.156,16.911,2.5247,,bb,40819,41519
Linezolid,40,WaterBlank7,Blank,,3.61,89.739,2.396,5.53,37.454,5.5919,,bb,40819,41519
Linezolid,41,AcnBlank8,Blank,,3.5,159.386,,18.544,,,,bb,40819,41519
Linezolid,42,WaterBlank9,Blank,,3.54,2.857,8.611,1.091,0.332,0.0492,,bb,40819,41519
Linezolid,43,WaterBlank,Blank,,,,,,,,,,40819,41519
Linezolid,44,ASM_solventC_0,Analyte,,3.36,62.981,21807.598,6.33,0.003,0.0001,,bb,40819,41519
Linezolid,45,ASM_solventC_14,Analyte,,3.52,834.019,30149.813,9.92,0.028,0.0038,,bb,40819,41519
Linezolid,46,ASM_solventC_41,Analyte,,3.52,2220.263,30079.393,188.687,0.074,0.0107,,bb,40819,41519
Linezolid,47,ASM_solventC_123,Analyte,,3.5,5263.065,26432.143,472.135,0.199,0.0294,,bb,40819,41519
Linezolid,48,ASM_solventC_370,Analyte,,3.52,22895.092,24697.199,2518.294,0.927,0.1381,,bb,40819,41519
Linezolid,49,ASM_solventC_1100,Analyte,,3.5,43987.168,19286.762,1348.278,2.281,0.3402,,bb,40819,41519
Linezolid,50,ASM_solventC_3300,Analyte,,3.5,120548.5,19841.158,20988.439,6.076,0.9069,,bb,40819,41519
Linezolid,51,ASM_solventC_10000,Analyte,,3.5,240594.734,15895.312,3887.533,15.136,2.2597,,bb,40819,41519
Linezolid,52,WaterBlank7,Blank,,3.5,53.51,,2.357,,,,bb,40819,41519
Linezolid,53,AcnBlank8,Blank,,3.5,142.57,,5.842,,,,bb,40819,41519
Linezolid,54,WaterBlank9,Blank,,,,1.366,,,,,,40819,41519
Linezolid,55,WaterBlank,Blank,,3.52,3.401,0.269,0.329,12.643,1.8874,,bb,40819,41519
Linezolid,56,Minus80aliquot,Blank,,3.52,552166.063,135.796,10437.849,4066.144,607.1115,,bb,40819,41519
Linezolid,57,WaterBlank7,Blank,,3.5,554.119,3.51,26.618,157.869,23.5709,,bb,40819,41519
Linezolid,58,AcnBlank8,Blank,,3.48,152.368,7.489,6.841,20.346,3.0375,,bb,40819,41519
Linezolid,59,WaterBlank9,Blank,,3.54,16.056,1.2,1.462,13.38,1.9975,,bb,40819,41519
Linezolid,60,WaterBlank,Blank,,,,0.159,,,,,,40819,41519
Linezolid,61,Postspike_1100,Analyte,,3.52,40435.23,19981.16,3298.63,2.024,0.3019,,bb,40819,41519
Linezolid,62,Postspike_10000,Analyte,,3.54,532204.5,7241.269,50810.326,73.496,10.9733,,bb,40819,41519
Linezolid,63,WaterBlank7,Blank,,3.52,424.235,2.92,13.598,145.286,21.6922,,bb,40819,41519
Linezolid,64,AcnBlank8,Blank,,3.52,268.852,0.346,11.773,777.029,116.0171,,bb,40819,41519
Linezolid,65,WaterBlank9,Blank,,3.5,28.498,,3.266,,,,bb,40819,41519
Linezolid,66,WaterBlank,Blank,,3.52,15.429,1.655,1.524,9.323,1.3917,,bb,40819,41519
Linezolid,67,DTTblank,Analyte,,3.63,7.936,,1.354,,,,bb,40819,41519
Linezolid,68,Blankspike_1100,Analyte,,3.52,50716.328,32321.293,3985.145,1.569,0.234,,bb,40819,41519
Linezolid,69,Blankspike_10000,Analyte,,3.52,578523.5,9812.901,50032.044,58.955,8.8023,,bb,40819,41519
Linezolid,70,WaterBlank7,Blank,,3.48,429.097,38.221,11.251,11.227,1.676,,bb,40819,41519
Linezolid,71,AcnBlank8,Blank,,3.52,214.27,,8.645,,,,bb,40819,41519
Linezolid,72,WaterBlank9,Blank,,3.52,36.732,,1.973,,,,bb,40819,41519
Linezolid,73,Phase1_12292,Analyte,,,,14141.666,,,,,,40819,41519
Linezolid,74,Phase1_12293,Analyte,,3.61,1.506,11787.72,0.625,0,0,,bbI,40819,41519
Linezolid,75,Phase1_12296,Analyte,,,,13078.847,,,,,,40819,41519
Linezolid,76,WAterbalnk10,Blank,,3.5,34.662,12.614,1.968,2.748,0.41,,bb,40819,41519
Linezolid,77,AcnBlank,Blank,,3.5,198.758,16.645,32.033,11.941,1.7826,,bb,40819,41519
Linezolid,78,WaterBlank,Blank,,3.57,22.171,0.049,3.231,452.469,67.5574,,bb,40819,41519
Linezolid,79,WaterBlank,Blank,,3.59,17.73,,1.044,,,,bb,40819,41519
Meropenem,1,WaterBlank1,Blank,,1.83,0.334,79.692,1.027,0.004,0.2222,,bb,40819,41519
Meropenem,2,LCMSwash,Blank,,,,8.75,,,,,,40819,41519
Meropenem,3,WaterBlank3,Blank,,,,1.396,,,,,,40819,41519
Meropenem,4,MeOHWash,Blank,,,,1.208,,,,,,40819,41519
Meropenem,5,WaterBlank4,Blank,,1.75,0.607,0.77,1.812,0.788,25.7325,,bb,40819,41519
Meropenem,6,AcetonitrileAABlank,Blank,,,,0.118,,,,,,40819,41519
Meropenem,7,WaterBlank,Blank,,1.83,0.31,0.95,1.263,0.326,10.7021,,bb,40819,41519
Meropenem,8,Water_ABS_0,Standard,0,,,47758.031,,,,,,40819,41519
Meropenem,9,Water_ABS_140,Standard,0.014,,,45051.648,,,,,,40819,41519
Meropenem,10,Water_ABS_410,Standard,0.041,1.69,2.467,48474.664,6.937,0,0.0875,213.4,bb,40819,41519
Meropenem,11,Water_ABS_1230,Standard,0.123,1.75,24.994,50052.816,6.617,0,0.1021,83,bb,40819,41519
Meropenem,12,Water_ABS_3700,Standard,0.37,1.73,152.208,42354.387,274.013,0.004,0.2028,54.8,bb,40819,41519
Meropenem,13,Water_ABS_1000,Standard,1.1,1.73,477.278,32826.078,106.944,0.015,0.5589,50.8,bb,40819,41519
Meropenem,14,Water_ABS_3000,Standard,3.3,1.73,2051.842,24020.414,1258.285,0.085,2.8649,86.8,bb,40819,41519
Meropenem,15,Water_ABS_10000,Standard,10,1.73,5091.438,15014.688,828.796,0.339,11.1179,111.2,bb,40819,41519
Meropenem,16,WaterBlank4,Blank,,,,23.345,,,,,,40819,41519
Meropenem,17,AcnBlank5,Blank,,,,38.705,,,,,,40819,41519
Meropenem,18,WaterBlank6,Blank,,1.69,0.293,,0.905,,,,bb,40819,41519
Meropenem,19,WaterBlank,Blank,,,,4.265,,,,,,40819,41519
Meropenem,20,ASM_solventA_0,Analyte,,,,31936.988,,,,,,40819,41519
Meropenem,21,ASM_solventA_14,Analyte,,,,34480.844,,,,,,40819,41519
Meropenem,22,ASM_solventA_41,Analyte,,1.91,0.098,27750.688,0.602,0,0.086,,bb,40819,41519
Meropenem,23,ASM_solventA_123,Analyte,,,,30926.445,,,,,,40819,41519
Meropenem,24,ASM_solventA_370,Analyte,,1.85,18.208,22955.209,55.073,0.001,0.1116,,bb,40819,41519
Meropenem,25,ASM_solventA_1100,Analyte,,1.83,71.888,25652.99,177.999,0.003,0.177,,bb,40819,41519
Meropenem,26,ASM_solventA_3300,Analyte,,1.87,279.404,23019.129,79.196,0.012,0.4807,,bb,40819,41519
Meropenem,27,ASM_solventA_10000,Analyte,,1.87,953.734,18573.314,460.96,0.051,1.7564,,bb,40819,41519
Meropenem,28,WaterBlank7,Blank,,1.67,0.126,,0.666,,,,bb,40819,41519
Meropenem,29,AcnBlank8,Blank,,1.67,0.083,7.494,0.477,0.011,0.4462,,bb,40819,41519
Meropenem,30,WaterBlank9,Blank,,1.91,1.345,2.263,2.963,0.594,19.422,,bb,40819,41519
Meropenem,31,WaterBlank,Blank,,,,0.661,,,,,,40819,41519
Meropenem,32,ASM_solventB_0,Analyte,,,,23262.107,,,,,,40819,41519
Meropenem,33,ASM_solventB_14,Analyte,,1.85,1.319,22374.889,1.72,0,0.0878,,bb,40819,41519
Meropenem,34,ASM_solventB_41,Analyte,,1.79,0.887,22076.105,2.712,0,0.0871,,bb,40819,41519
Meropenem,35,ASM_solventB_123,Analyte,,1.89,10.693,22598.193,10.693,0,0.1012,,bb,40819,41519
Meropenem,36,ASM_solventB_370,Analyte,,,,21360.98,,,,,,40819,41519
Meropenem,37,ASM_solventB_1100,Analyte,,1.91,114.805,20975.205,72.24,0.005,0.2639,,bb,40819,41519
Meropenem,38,ASM_solventB_3300,Analyte,,1.89,539.875,17438.836,142.287,0.031,1.093,,bb,40819,41519
Meropenem,39,ASM_solventB_10000,Analyte,,,,14620.567,,,,,,40819,41519
Meropenem,40,WaterBlank7,Blank,,1.81,0.09,2.396,0.515,0.038,1.3079,,bb,40819,41519
Meropenem,41,AcnBlank8,Blank,,,,,,,,,,40819,41519
Meropenem,42,WaterBlank9,Blank,,,,8.611,,,,,,40819,41519
Meropenem,43,WaterBlank,Blank,,,,,,,,,,40819,41519
Meropenem,44,ASM_solventC_0,Analyte,,,,21807.598,,,,,,40819,41519
Meropenem,45,ASM_solventC_14,Analyte,,1.75,3.22,30149.813,3.603,0,0.0893,,bb,40819,41519
Meropenem,46,ASM_solventC_41,Analyte,,1.73,1.347,30079.393,3.379,0,0.0873,,bb,40819,41519
Meropenem,47,ASM_solventC_123,Analyte,,,,26432.143,,,,,,40819,41519
Meropenem,48,ASM_solventC_370,Analyte,,1.81,1.941,24697.199,6.92,0,0.0884,,bb,40819,41519
Meropenem,49,ASM_solventC_1100,Analyte,,1.79,26.792,19286.762,76.775,0.001,0.131,,bb,40819,41519
Meropenem,50,ASM_solventC_3300,Analyte,,1.91,84.913,19841.158,3.156,0.004,0.2251,,bb,40819,41519
Meropenem,51,ASM_solventC_10000,Analyte,,1.81,251.2,15895.312,47.356,0.016,0.6,,bb,40819,41519
Meropenem,52,WaterBlank7,Blank,,1.87,0.053,,0.74,,,,bb,40819,41519
Meropenem,53,AcnBlank8,Blank,,,,,,,,,,40819,41519
Meropenem,54,WaterBlank9,Blank,,1.83,0.067,1.366,0.589,0.049,1.6816,,bb,40819,41519
Meropenem,55,WaterBlank,Blank,,1.79,0.432,0.269,0.756,1.606,52.3332,,bb,40819,41519
Meropenem,56,Minus80aliquot,Blank,,1.83,5630.921,135.796,1864.619,41.466,1349.127,,bb,40819,41519
Meropenem,57,WaterBlank7,Blank,,1.73,0.864,3.51,2.318,0.246,8.0941,,bb,40819,41519
Meropenem,58,AcnBlank8,Blank,,1.89,1.304,7.489,1.373,0.174,5.7507,,bb,40819,41519
Meropenem,59,WaterBlank9,Blank,,,,1.2,,,,,,40819,41519
Meropenem,60,WaterBlank,Blank,,,,,,,,,,40819,41519
Meropenem,61,Postspike_1100,Analyte,,,,19981.16,,,,,,40819,41519
Meropenem,62,Postspike_10000,Analyte,,,,7241.269,,,,,,40819,41519
Meropenem,63,WaterBlank7,Blank,,,,2.92,,,,,,40819,41519
Meropenem,64,AcnBlank8,Blank,,,,2.552,,,,,,40819,41519
Meropenem,65,WaterBlank9,Blank,,,,,,,,,,40819,41519
Meropenem,66,WaterBlank,Blank,,,,1.655,,,,,,40819,41519
Meropenem,67,DTTblank,Analyte,,1.71,0.336,,0.793,,,,bb,40819,41519
Meropenem,68,Blankspike_1100,Analyte,,1.87,27.552,32321.293,78.193,0.001,0.1136,,bb,40819,41519
Meropenem,69,Blankspike_10000,Analyte,,1.85,4464.221,9812.901,1632.122,0.455,14.8865,,bb,40819,41519
Meropenem,70,WaterBlank7,Blank,,1.91,0.517,38.221,2.432,0.014,0.5259,,bb,40819,41519
Meropenem,71,AcnBlank8,Blank,,1.65,0.212,,0.844,,,,bb,40819,41519
Meropenem,72,WaterBlank9,Blank,,,,,,,,,,40819,41519
Meropenem,73,Phase1_12292,Analyte,,,,14141.666,,,,,,40819,41519
Meropenem,74,Phase1_12293,Analyte,,,,11787.72,,,,,,40819,41519
Meropenem,75,Phase1_12296,Analyte,,,,13078.847,,,,,,40819,41519
Meropenem,76,WAterbalnk10,Blank,,1.81,0.428,12.614,2.04,0.034,1.1897,,bb,40819,41519
Meropenem,77,AcnBlank,Blank,,1.85,0.281,16.645,1.04,0.017,0.6351,,bb,40819,41519
Meropenem,78,WaterBlank,Blank,,1.73,0.239,0.049,0.992,4.878,158.7704,,bb,40819,41519
Meropenem,79,WaterBlank,Blank,,,,,,,,,,40819,41519
Piperacillin,1,WaterBlank1,Blank,,3.63,177.863,530.293,243.683,0.335,1.2394,,bb,40819,41519
Piperacillin,2,LCMSwash,Blank,,3.59,20.546,13.975,42.954,1.47,4.8484,,bb,40819,41519
Piperacillin,3,WaterBlank3,Blank,,3.61,74.152,109.75,118.417,0.676,2.4071,,bb,40819,41519
Piperacillin,4,MeOHWash,Blank,,,,36.452,,,,,,40819,41519
Piperacillin,5,WaterBlank4,Blank,,3.61,45.393,57.061,99.203,0.796,2.7987,,bb,40819,41519
Piperacillin,6,AcetonitrileAABlank,Blank,,3.69,0.453,,1.479,,,,bb,40819,41519
Piperacillin,7,WaterBlank,Blank,,3.59,47.291,4.452,162.099,10.622,22.5848,,bb,40819,41519
Piperacillin,8,Water_ABS_0,Standard,0,3.61,458.04,85939.531,320.657,0.005,0.0113,,bb,40819,41519
Piperacillin,9,Water_ABS_140,Standard,0.014,3.61,534.757,88605.594,108.834,0.006,0.014,100.1,bb,40819,41519
Piperacillin,10,Water_ABS_410,Standard,0.041,3.61,1029.606,98120.68,461.116,0.01,0.0313,76.4,bb,40819,41519
Piperacillin,11,Water_ABS_1230,Standard,0.123,3.61,2611.945,108535.359,163.375,0.024,0.0839,68.2,bb,40819,41519
Piperacillin,12,Water_ABS_3700,Standard,0.37,3.61,8036.491,107623.102,578.763,0.075,0.2783,75.2,bb,40819,41519
Piperacillin,13,Water_ABS_1000,Standard,1.1,3.61,30728.146,113395.703,41084.214,0.271,1.0078,91.6,bb,40819,41519
Piperacillin,14,Water_ABS_3000,Standard,3.3,3.61,101995.438,98037.734,2855.613,1.04,3.5709,108.2,bb,40819,41519
Piperacillin,15,Water_ABS_10000,Standard,10,3.61,266716.719,76394.07,80419.678,3.491,9.944,99.4,bb,40819,41519
Piperacillin,16,WaterBlank4,Blank,,3.61,966.972,234.254,61.61,4.128,11.3342,,bb,40819,41519
Piperacillin,17,AcnBlank5,Blank,,3.61,51.306,9.443,40.531,5.433,13.9666,,bb,40819,41519
Piperacillin,18,WaterBlank6,Blank,,3.61,33.302,47.128,84.807,0.707,2.5092,,bb,40819,41519
Piperacillin,19,WaterBlank,Blank,,3.59,122.807,52.049,282.601,2.359,7.2443,,bb,40819,41519
Piperacillin,20,ASM_solventA_0,Analyte,,3.61,14612.884,21548.262,751.049,0.678,2.4154,,bb,40819,41519
Piperacillin,21,ASM_solventA_14,Analyte,,3.63,388.109,20167.408,34.99,0.019,0.0653,,bb,40819,41519
Piperacillin,22,ASM_solventA_41,Analyte,,3.63,392.853,20739.588,160.557,0.019,0.0641,,bb,40819,41519
Piperacillin,23,ASM_solventA_123,Analyte,,3.63,680.898,19074.271,1260.135,0.036,0.1289,,bb,40819,41519
Piperacillin,24,ASM_solventA_370,Analyte,,3.61,2619.593,18357.834,533.481,0.143,0.5354,,bb,40819,41519
Piperacillin,25,ASM_solventA_1100,Analyte,,3.61,6764.279,18185.137,1921.674,0.372,1.3693,,bb,40819,41519
Piperacillin,26,ASM_solventA_3300,Analyte,,3.63,22773.738,17313.326,965.598,1.315,4.3987,,bb,40819,41519
Piperacillin,27,ASM_solventA_10000,Analyte,,3.63,52541.012,17206.652,1735.055,3.054,8.9382,,bb,40819,41519
Piperacillin,28,WaterBlank7,Blank,,3.61,134.577,65.578,182.492,2.052,6.4488,,bb,40819,41519
Piperacillin,29,AcnBlank8,Blank,,3.57,2.838,4.974,4.234,0.571,2.0558,,bb,40819,41519
Piperacillin,30,WaterBlank9,Blank,,3.61,39.137,3.021,80.938,12.955,25.8501,,bb,40819,41519
Piperacillin,31,WaterBlank,Blank,,3.63,68.733,3.79,150.296,18.135,32.2783,,bb,40819,41519
Piperacillin,32,ASM_solventB_0,Analyte,,3.61,11.281,45585.016,31.997,0,0,,bbI,40819,41519
Piperacillin,33,ASM_solventB_14,Analyte,,3.63,55.71,49267.98,26.989,0.001,0,,bbI,40819,41519
Piperacillin,34,ASM_solventB_41,Analyte,,3.63,107.151,45874.938,22.011,0.002,0,,bbI,40819,41519
Piperacillin,35,ASM_solventB_123,Analyte,,3.63,418.971,45131.359,112.44,0.009,0.0266,,bb,40819,41519
Piperacillin,36,ASM_solventB_370,Analyte,,3.63,2628.255,46000.82,183.013,0.057,0.2113,,bb,40819,41519
Piperacillin,37,ASM_solventB_1100,Analyte,,3.63,5922.635,42808.848,782.017,0.138,0.5191,,bb,40819,41519
Piperacillin,38,ASM_solventB_3300,Analyte,,3.63,19069.994,41540.18,1066.043,0.459,1.6742,,bb,40819,41519
Piperacillin,39,ASM_solventB_10000,Analyte,,3.63,49367.715,42537.578,990.12,1.161,3.9375,,bb,40819,41519
Piperacillin,40,WaterBlank7,Blank,,3.63,198.985,0.529,49.399,376.153,186.4376,,bb,40819,41519
Piperacillin,41,AcnBlank8,Blank,,3.71,0.526,1.37,1.904,0.384,1.4115,,bb,40819,41519
Piperacillin,42,WaterBlank9,Blank,,3.63,43.369,14.906,11.46,2.909,8.5973,,bb,40819,41519
Piperacillin,43,WaterBlank,Blank,,3.63,55.056,,119.579,,,,bb,40819,41519
Piperacillin,44,ASM_solventC_0,Analyte,,3.59,3.829,31839.379,9.024,0,0,,bbI,40819,41519
Piperacillin,45,ASM_solventC_14,Analyte,,3.63,85.54,33954.098,237.621,0.003,0.0003,,bb,40819,41519
Piperacillin,46,ASM_solventC_41,Analyte,,3.65,230.673,32045.176,967.32,0.007,0.0185,,bb,40819,41519
Piperacillin,47,ASM_solventC_123,Analyte,,3.63,610.654,31549.73,396.959,0.019,0.0657,,bb,40819,41519
Piperacillin,48,ASM_solventC_370,Analyte,,3.63,2978.365,28812.982,1959.707,0.103,0.3873,,bb,40819,41519
Piperacillin,49,ASM_solventC_1100,Analyte,,3.61,6777.903,28119.729,269.642,0.241,0.8989,,bb,40819,41519
Piperacillin,50,ASM_solventC_3300,Analyte,,3.61,22542.332,32518.549,892.263,0.693,2.4651,,bb,40819,41519
Piperacillin,51,ASM_solventC_10000,Analyte,,3.61,50619.504,25464.986,1819.226,1.988,6.2782,,bb,40819,41519
Piperacillin,52,WaterBlank7,Blank,,3.61,143.264,16.632,44.717,8.614,19.5159,,bb,40819,41519
Piperacillin,53,AcnBlank8,Blank,,,,2.219,,,,,,40819,41519
Piperacillin,54,WaterBlank9,Blank,,3.61,95.055,1.541,216.567,61.684,68.3512,,bb,40819,41519
Piperacillin,55,WaterBlank,Blank,,3.63,87.951,,191.755,,,,bb,40819,41519
Piperacillin,56,Minus80aliquot,Blank,,3.63,123838.336,,1851.205,,,,bb,40819,41519
Piperacillin,57,WaterBlank7,Blank,,3.61,461.115,0.778,519.853,592.693,237.2877,,bb,40819,41519
Piperacillin,58,AcnBlank8,Blank,,3.69,0.834,2.811,5.49,0.297,1.1007,,bb,40819,41519
Piperacillin,59,WaterBlank9,Blank,,3.61,44.963,1.553,23.027,28.952,43.4102,,bb,40819,41519
Piperacillin,60,WaterBlank,Blank,,3.63,60.608,,12.492,,,,bb,40819,41519
Piperacillin,61,Postspike_1100,Analyte,,3.63,6610.867,16661.588,10806.226,0.397,1.4567,,bb,40819,41519
Piperacillin,62,Postspike_10000,Analyte,,3.63,176278.719,14183.84,712.416,12.428,25.1367,,bb,40819,41519
Piperacillin,63,WaterBlank7,Blank,,3.63,715.156,5.551,29.672,128.834,103.9856,,bb,40819,41519
Piperacillin,64,AcnBlank8,Blank,,3.67,27.378,12.762,11.331,2.145,6.6932,,bb,40819,41519
Piperacillin,65,WaterBlank9,Blank,,3.65,44.447,1.143,25.923,38.886,51.9898,,bb,40819,41519
Piperacillin,66,WaterBlank,Blank,,3.63,81.361,,12.859,,,,bb,40819,41519
Piperacillin,67,DTTblank,Analyte,,,,,,,,,,40819,41519
Piperacillin,68,Blankspike_1100,Analyte,,3.63,7353.606,83856.125,1109.928,0.088,0.3279,,bb,40819,41519
Piperacillin,69,Blankspike_10000,Analyte,,3.63,196713.078,51100.617,39863.979,3.85,10.7361,,bb,40819,41519
Piperacillin,70,WaterBlank7,Blank,,3.63,638.537,63.007,46.669,10.134,21.8636,,bb,40819,41519
Piperacillin,71,AcnBlank8,Blank,,3.65,30.247,13.246,9.026,2.283,7.0505,,bb,40819,41519
Piperacillin,72,WaterBlank9,Blank,,3.63,76.535,12.145,42.882,6.302,15.5869,,bb,40819,41519
Piperacillin,73,Phase1_12292,Analyte,,3.73,4.293,51232.355,10.076,0,0,,bbI,40819,41519
Piperacillin,74,Phase1_12293,Analyte,,3.48,7.513,41731.629,22.176,0,0,,bbI,40819,41519
Piperacillin,75,Phase1_12296,Analyte,,3.52,5.198,29427.955,3.014,0,0,,bbI,40819,41519
Piperacillin,76,WAterbalnk10,Blank,,3.63,70.113,118.554,9.202,0.591,2.1261,,bb,40819,41519
Piperacillin,77,AcnBlank,Blank,,3.52,1.08,23.137,2.081,0.047,0.1711,,bb,40819,41519
Piperacillin,78,WaterBlank,Blank,,3.65,25.6,18.453,66.859,1.387,4.609,,bb,40819,41519
Piperacillin,79,WaterBlank,Blank,,3.61,56.561,15.031,43.484,3.763,10.547,,bb,40819,41519
